,"Brands","Brand_C","Brand_D","Brand_E","Brand_F","Brand_G","Brand_H",,,,,,,,,,,,,,,,,,,
"state factor",0.25,,,,,,,,,,,,,,,,,,,,,,,,,
,"Price-Purchase"," $10.00 "," $12.00 "," $15.00 "," $17.00 "," $20.00 "," $25.00 ",,,,,,,,,,,,,,,,,,,
"Budget"," $30.00 ",,,,,,,,,,,,,,,,,,,,,,,,,
"r=",0.2,,,,,,,,,,,,,,,,,,,,,,,,,
"R=",1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like-Purchase:   <Like>-->",0.486782278028391,0.461625115568101,0.506309844124319,0.658091983939395,0.616359823869111,0.755903752300262,,,,,,,,,,,,,,,,,,,
"l=",1.5,1.94712911211356,1.8465004622724,2.02523937649728,2.63236793575758,2.46543929547644,3.02361500920105,,,,,,,,,,,,,,,,,,,
"L=",2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prob: Price-Like-Purchase=1 ->",0.679084712040075,0.667789823035712,0.658293703258374,0.664701683469173,0.621976256276702,0.459772390360912,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like-Fash -->",1,1,1,3,2,4,,,"Trust-Like",0.6,0.7,0.5,0.7,0.9,0.9,,,"Fit-Like",0.6,0.4,0.8,0.8,0.7,0.9,
"S_Like=",0,0.196613826922696,0.196613826922696,0.196613826922696,0.144220271638215,0.162348109742322,0.124279215376887,,,0,0.152121374534379,0.13753498161643,0.168415939404852,0.13753498161643,0.114865929122657,0.114865929122657,,,0,0.14944106150146,0.184123930379594,0.125516589164692,0.125516589164692,0.136043288917856,0.117585370353174,
,1,0.244417829384431,0.244417829384431,0.244417829384431,0.187458322858432,0.208225517335992,0.163008040491326,,,1,0.196836597062178,0.182668153549569,0.211661889350045,0.182668153549569,0.159737817271845,0.159737817271845,,,1,0.193430015381578,0.231827146128637,0.165587974820455,0.165587974820455,0.177895963595935,0.156343465096114,
,2,0.196613826922696,0.196613826922696,0.196613826922696,0.240431541322461,0.258852745843372,0.211878770826322,,,2,0.234584049524948,0.225901168471947,0.239844342490206,0.225901168471947,0.209473736757927,0.209473736757927,,,2,0.241177846608731,0.241177846608731,0.21309093693549,0.21309093693549,0.225838952068985,0.203441169380047,
,3,0.153294771738268,0.153294771738268,0.153294771738268,0.298889230555968,0.208225517335992,0.271752881741894,,,3,0.228455620445725,0.244290960316749,0.211661889350045,0.244290960316749,0.254547085988977,0.254547085988977,,,3,0.231827146128637,0.193430015381578,0.262448775139919,0.262448775139919,0.25399486821574,0.256149136102061,
